,sentence,entities
28,Germany    was    never    occupied    by    Allied    troops         yet    it    had    to    accept    a    liberal    democratic    government    imposed    on    it    by    victors    after    abdication    of    Kaiser    Wilhelm    .                 ,['Germany']
29,"Much    of    map    of    Europe    was    redrawn    by    victors    based    upon    theory    that    future    wars    could    be    prevented    if    all    ethnic    groups    had    their    own    ``    homeland   ""  ""   .    ",['Europe']
30,New    states    like    Yugoslavia    and    Czechoslovakia    were    created    out    of    former    Austro-Hungarian    Empire    to    accommodate    nationalist    aspirations    of    these    groups    .                 ,"['Yugoslavia', 'Czechoslovakia']"
31,An    international    body    called    League    of    Nations    was    formed    to    mediate    disputes    and    prevent    future    wars         although    its    effectiveness    was    severely    limited    by         among    other    things         its    reluctance    and    inability    to    act    .                 ,[]
32,Russian    Revolution    and    Communism         edit         Main    article    :    Russian    RevolutionThe    Russian    Revolution    of            ending    in    overthrow    of    Tsarist    regime    and    execution    of    His    Imperial    Majesty    Nicholas    II    and    his    family         sparked    a    wave    of    communist    revolutions    across    Europe         prompting    many    to    believe    that    a    socialist    world    revolution    could    be    realized    in    near    future    .                 ,"['Russian', 'Russian', 'Tsarist', 'Europe']"
33,However         European    revolutions    were    defeated         Vladimir    Lenin    died    in            and    within    a    few    years         Joseph    Stalin    displaced    Leon    Trotsky    as    de    facto    leader    of    Soviet    Union    .    ,"['European', 'Lenin', 'Stalin', 'Leon    Trotsky    ']"
34,"idea    of    worldwide    revolution    was    no    longer    in    forefront         as    Stalin    concentrated    on    ``    socialism    in    one    country   ""  ""                and    embarked    on    a    bold    plan    of    collectivization    and    industrialization    .                 ",['Stalin']
35,"majority    of    socialists    and    even    many    communists    became    disillusioned    with    Stalin   "" s""   autocratic    rule         his    purges    and    assassination    of    his    ``    enemies   ""  ""        as    well    as    news    of    famines    he    imposed    on    his    own    people    .                 ",['Stalin']
36,Communism    was    strengthened    as    a    force    in    Western    democracies    when    global    economy    crashed    in       in    what    became    known    as    Great    Depression    .    ,[]
37,"Many    people    saw    this    as    first    stage    of    end    of    capitalist    system    and    were    attracted    to    Communism    as    a    solution    to    economic    crisis         especially    as    Soviet    Union   "" s""   economic    development    in   s    was    strong         unaffected    by    capitalist    world   "" s""   crisis    .                 ",[]
38,"Between    wars         edit         Dorothea    Lange   "" s""      photo    Migrant    Mother    is    one    of    most    iconic    photos    associated    with    Great    DepressionMain    article    :    Interwar    periodEconomic    depression         edit         Main    articles    :    Roaring    Twenties    and    Great    DepressionAfter    World    War    I         global    economy    remained    strong    through    most    of   s    .    ",['Migrant    Mother    ']
39,war    had    provided    a    stimulus    for    industry    and    economic    activity    in    general    .    ,[]
40,There    were    many    warning    signs    foretelling    Crash    of       of    global    economic    system    at    end    of    decade         that    were    generally    not    understood    by    political    leadership    of    time    .                 ,[]
41,responses    to    crisis    often    made    situation    worse         as    millions    of    people    watched    their    savings    become    next    to    worthless         and    idea    of    a    steady    job    with    a    reasonable    income    fading    away    .                 ,[]
42,Many    sought    answers    from    alternative    ideologies    such    as    communism    and    fascism    .                 ,[]
43,They    believed    that    capitalist    economic    system    was    collapsing    and    that    new    ideas    were    required    to    meet    crisis    .    ,[]
44,early    responses    to    crisis    were    based    on    assumption    that    free    market    would    correct    itself    .    ,[]
45,This         however         did    very    little    to    correct    crisis    or    to    alleviate    suffering    of    many    ordinary    people    .    ,[]
46,Thus         idea    that    existing    system    could    be    reformed    by    government    intervention    in    economy         rather    than    by    continuing    laissez-faire    approach         became    prominent    as    a    solution    to    crisis    .    ,[]
47,Democratic    governments    assumed    responsibility    to    provide    needed    services    in    society         and    to    alleviate    poverty    .    ,['Democratic']
48,Thus    was    born    welfare    state    .                 ,[]
49,These    two    politico-economic    principles         belief    in    government    intervention    and    welfare    state         as    opposed    to    belief    in    free    market    and    private    institutions         would    define    many    political    battles    for    rest    of    century.,['two']
50,The    rise    of    dictatorship         edit         Main    articles    :    Fascism         Totalitarianism         and    DictatorshipNazi    soldiers    hang    a    poster    on    window    of    Jewish-owned    business         that    says    :    ``    Germans         defend    yourselves    .    ,['Jewish']
51,"Do    not    buy    from    Jews   ""  ""   .    ",['Jews']
52,Germany        Fascism    first    appeared    in    Italy    with    rise    to    power    of    Benito    Mussolini    in       .                 ,"['Germany        Fascism    ', 'Italy', 'Mussolini']"
53,ideology    was    supported    by    a    large    proportion    of    upper    classes    as    a    strong    challenge    to    threat    of    communism    .                 ,[]
54,When    Adolf    Hitler    came    to    power    in    Germany    in            a    new    variant    of    fascism    called    Nazism    took    over    Germany    and    ended    German    experiment    with    democracy    .    ,"['Adolf    Hitler    ', 'Germany', 'Germany', 'German']"
55,Nazi    Party    in    Germany    was    dedicated    to    restoration    of    German    honor    and    prestige         unification    of    German-speaking    peoples         and    annexation    of    Central    and    Eastern    Europe    as    vassal    states         with    Slavic    population    to    act    as    slave    labor    to    serve    German    economic    interests    .                 ,"['Germany', 'German', 'German', 'Europe', 'German']"
56,"There    was    also    a    strong    appeal    to    a    mythical    racial    purity         idea    that    Germans    were    Herrenvolk    or    ``    master    race   ""  ""             and    a    vicious    antisemitism    which    promoted    idea    of    Jews    as    subhuman         Untermensch         and    worthy    only    of    extermination    .                 ","['Germans', 'Herrenvolk', 'Jews']"
57,Many    people    in    Western    Europe    and    United    States    greeted    rise    of    Hitler    with    relief    or    indifference    .                 ,"['Europe', 'Hitler']"
58,They    could    see    nothing    wrong    with    a    strong    Germany    ready    to    take    on    communist    menace    to    east    .    ,['Germany']
59,Antisemitism    during    Great    Depression    was    widespread    as    many    were    content    to    blame    Jews    for    causing    economic    downturn    .                 ,['Jews']
60,Hitler    began    to    put    his    plan    in    motion         annexing    Austria    in    Anschluss         or    reunification    of    Austria    to    Germany         in       .                 ,"['Hitler', 'Austria', 'Austria']"
61,He    then    negotiated    annexation    of    Sudetenland         a    German-speaking    mountainous    area    of    Czechoslovakia         in    Munich    Conference    .                 ,['German']
62,"British    were    eager    to    avoid    war    and    believed    Hitler   "" s""   assurance    to    protect    security    of    Czech    state    .    ","['British', 'Czech']"
63,Hitler    annexed    rest    of    Czech    state    shortly    afterwards         indicating    that    he    had    ulterior    motives    .                 ,"['Hitler', 'Czech']"
64,Fascism    was    not    only    form    of    dictatorship    to    rise    in    post-war    period    .    ,[]
65,Almost    all    of    new    democracies    in    nations    of    Eastern    Europe    collapsed    and    were    replaced    by    authoritarian    regimes    .                 ,['Europe']
66,Spain    also    became    a    dictatorship    under    leadership    of    General    Francisco    Franco    after    Spanish    Civil    War    .                 ,['Spain']
67,Totalitarian    states    attempted    to    achieve    total    control    over    their    subjects    as    well    as    their    total    loyalty    .    ,['Totalitarian']
68,They    held    state    above    individual         and    were    often    responsible    for    some    of    worst    acts    in    history         such    as    Holocaust    Adolf    Hitler    perpetrated    on    European    Jews         or    Great    Purge    Stalin    perpetrated    in    Soviet    Union    in   s.Global    war    :    World    War    II        –1945              edit         Main    article    :    World    War    IIThe    war    in    Europe         edit         Main    article    :    European    Theater    of    World    War    IIThis    section    provides    a    conversational    overview    of    World    War    II    in    Europe    .    ,"['Holocaust    Adolf    Hitler    ', 'European', '1945', 'Europe', 'Europe']"
69,See    main    article    for    a    fuller    discussion.,[]
70,"The    signing    of    Molotov–Ribbentrop    Pact    in    Moscow         August           Soon    after    events    in    Czechoslovakia         the United Kingdom    and    France    issued    assurances    of    protection    to    Poland         which    seemed    to    be    next    on    Hitler   "" s""   list    .    ","['the United Kingdom', 'France', 'Hitler']"
71,World    War    II    officially    began    on    September                    when    Hitler    unleashed    his    Blitzkrieg         or    lightning    war         against    Poland    .    ,"['World    War    II    officially    ', 'Hitler', 'Poland']"
72,"the United Kingdom    and    France         much    to    Hitler   "" s""   surprise         immediately    declared    war    upon    Germany         but    help    they    delivered    to    Poland    was    negligible    .                 ","['the United Kingdom', 'Hitler', 'Poland']"
73,Sixteen    days    later         Poland    was    attacked    from    East    by    Soviet    Union         acting    in    a    secret    alliance    with    Nazi    Germany    .                 ,"['Sixteen    days    later', 'Poland', 'Nazi', 'Germany']"
74,After    only    a    few    weeks         Polish    forces    were    overwhelmed         and    its    government    fled    to    exile    in    London         see    Polish    government    in    Exile         .In    starting    World    War    II         Germans    had    unleashed    a    new    type    of    warfare         characterized    by    highly    mobile    forces    and    use    of    massed    aircraft    .    ,"['Polish', 'Polish', 'World    War    II         Germans    ']"
75,German    strategy    concentrated    upon    devotion    of    Wehrmacht         or    German    army         to    use    of    tank    groups         called    panzer    divisions         and    groups    of    mobile    infantry         in    concert    with    relentless    attacks    from    air    .    ,"['German', 'German']"
76,Encirclement    was    also    a    major    part    of    strategy    .    ,[]
77,This    change    smashed    any    expectations    that    Second    World    War    would    be    fought    in    trenches    like    first    .                 ,['first']
78,"As    Hitler   "" s""   forces    conquered    Poland         Soviet    Union         under    General    Secretary    Joseph    Stalin         was    acting    out    guarantees    of    territory    under    a    secret    part    of    a    nonaggression    pact    between    the Soviet Union    and    Germany    known    as    Molotov–Ribbentrop    Pact    .    ","['Joseph    Stalin         ', 'the Soviet Union', 'Germany']"
79,This    treaty    gave    Stalin    free    rein    to    take    Baltic    republics    of    Estonia         Latvia         and    Lithuania         as    well    as    Eastern    Poland         all    of    which    would    remain    in    Soviet    possession    after    war    .                 ,"['Stalin', 'Baltic', 'Soviet']"
80,Stalin    also    launched    an    attack    on    Finland         which    he    hoped    to    reduce    to    little    more    than    a    Soviet    puppet    state         but    Red    Army    met    staunch    Finnish    resistance    in    what    became    known    as    Winter    War    and    succeeded    in    gaining    only    limited    territory    from    Finns    .                 ,"['Stalin', 'Soviet', 'Finnish', 'Finns']"
81,This    action    would    later    cause    Finns    to    ally    with    Germany    when    its    attack    on    Soviet    Union    came    in       .                 ,"['Finns', 'Germany']"
82,Blitzkrieg         edit         After    defeat    of    Poland         a    period    known    as    Phony    War    ensued    during    winter    of   –1940         which    saw    only    limited    military    land    operation    on    Western    Front    .                 ,['Blitzkrieg         edit']
83,All    of    this    changed    on    May                    when    Germans    launched    a    massive    attack    on    Low    Countries         Belgium         Netherlands         and    Luxembourg              most    probably    to    surmount    Maginot    Line    of    defenses    on    Franco-German    border    .                 ,['Germans']
84,This    witnessed    incredible    fall    of    Eben    Emael         a    Belgian    fort    considered    impregnable    and    guarded    by       Belgians         to    a    force    of    only       German    paratroopers    .    ,"['Belgian', 'German']"
85,worst    of    this    was    that    King    Leopold    III    of    Belgium    surrendered    to    Germans    on    May       without    warning    his    allies         exposing    entire    flank    of    Allied    forces    to    German    panzer    groups    .                 ,"['Belgium', 'Germans', 'Allied', 'German']"
86,Following    conquest    of    Low    Countries         Hitler    occupied    Denmark    and    Norway         beginning    on    April               .    ,['Denmark']
87,Norway    was    strategically    important    because    of    its    sea    routes    which    supplied    crucial    Swedish    ore    to    Nazi    war    machine    .    ,"['Norway', 'Swedish', 'Nazi']"
88,Norway    held    on    for    a    few    crucial    weeks         but    Denmark    surrendered    after    only    six    hours    .                              ,"['Norway', 'Denmark']"
89,Sweden    was    only    Scandinavian    country    to    successfully    maintain    its    neutrality    throughout    war         with    occasional    breaches    of    neutrality    in    favor    of    both    Germany    and    Western    Allies    .                 ,"['Sweden', 'Scandinavian', 'Germany']"
90,With    disaster    in    Low    Countries         France         considered    at    time    to    have    had    finest    army    in    world         lasted    only    four    weeks         with    Paris    being    occupied    on    June       .    ,['Paris']
91,Three    days    later         Marshal    Philippe    Pétain    surrendered    to    Germans    .                 ,"['Three    days    later', 'Pétain', 'Germans']"
92,"debacle    in    France    also    led    to    one    of    war   "" s""   greatest    mysteries         and    Hitler   "" s""   first    great    blunder         Dunkirk         where    a    third    of    a    million    trapped    British    and    French    soldiers    were    evacuated    by    not    only    British    war    boats         but    every    craft    army    could    find         including    fishing    boats    .    ","['France', 'first', 'British', 'French', 'British']"
93,"Hitler    refused    to    ``    risk   ""  ""   his    panzers    on    an    action    at    Dunkirk         listening    to    advice    of    Air    Minister    Hermann    Göring    and    allowing    Luftwaffe         or    German    Air    Force         to    handle    job    .                 ","['Hitler', 'Luftwaffe         or    ', 'German']"
94,irony    of    this    was    that    escaped    men    would    form    core    of    army    that    was    to    invade    beaches    of    Normandy    in       .    ,[]
95,Hitler    did    not    occupy    all    of    France         but    about    three-quarters         including    all    of    Atlantic    coast         allowing    Marshal    Pétain    to    remain    as    dictator    of    an    area    known    as    Vichy    France    .                 ,"['Hitler', 'Atlantic', 'France']"
96,However         members    of    escaped    French    Army    formed    around    General    Charles    de    Gaulle    to    create    Free    French    forces         which    would    continue    to    battle    Hitler    in    stead    of    an    independent    France    .                 ,"['French', 'Hitler', 'France']"
97,At    this    moment         Italy         under    Benito    Mussolini         declared    war    on    Allies    on    June            thinking    that    war    was    almost    over         but    he    managed    only    to    occupy    a    few    hundred    yards    of    French    territory    .                 ,['French']
98,Throughout    war         Italians    would    be    more    of    a    burden    to    Nazis    than    a    boon         and    would    later    cost    them    precious    time    in    Greece    .                              ,"['Italians', 'Nazis', 'Greece']"
99,German    Heinkel    He       bombers    during    Battle    of    the United KingdomHitler    now    turned    his    eyes    on    Great    the United Kingdom         which    stood    alone    against    him    .    ,[]
100,He    ordered    his    generals    to    draw    up    plans    for    an    invasion         code    named    Operation    Sea    Lion         and    ordered    Luftwaffe    to    launch    a    massive    air    war    against    British    isles         which    would    come    to    be    known    as    Battle    of    the United Kingdom    .    ,"['Luftwaffe', 'British']"
101,British    at    first    suffered    steady    losses         but    eventually    managed    to    turn    air    war    against    Germany         taking    down       German    planes    throughout    summer    of       to    only       Royal    Air    Force         RAF         losses    .                 ,"['British', 'Germany         ', 'German']"
102,"key    turning    point    came    when    Germans    discontinued    successful    attacks    against    British    airplane    factories    and    radar    command    and    coordination    stations    and    turned    to    civilian    bombing    known    as    terror    bombing    using    distinctive    ``    bomb   ""  ""   sound    created    by    German    dive-bomber         Stuka    .                 ","['Germans', 'British', 'German']"
103,switch    came    after    a    small    British    bombing    force    had    attacked    Berlin    .                 ,"['British', 'Berlin']"
104,Hitler    was    infuriated    .    ,['Hitler']
105,"However         his    decision    to    switch    attacks   "" ""   focus    allowed    British    to    rebuild    RAF    and    eventually    force    Germans    to    indefinitely    postpone    Sea    Lion    .                 ","['British', 'RAF', 'Germans']"
106,"importance    of    Battle    of    the United Kingdom    is    that    it    marked    first    of    Hitler   "" s""   defeats         however    its    overall    impact    was    overshadowed    by    his    later    blunders    in    east    .    ",['Hitler']
107,Secondly         it    marked    advent    of    radar    as    a    major    weapon    in    modern    air    war    .    ,[]
108,With    radar         squadrons    of    fighters    could    be    quickly    assembled    to    respond    to    incoming    bombers    attempting    to    bomb    civilian    targets    .    ,[]
109,It    also    allowed    identification    of    type    and    a    guess    at    number    of    incoming    enemy    aircraft         as    well    as    tracking    of    friendly    airplanes    .                 ,[]
110,Operation    Barbarossa         edit         Hitler         taken    aback    by    his    defeat    over    skies    of    the United Kingdom         now    turned    his    gaze    eastward    to    Soviet    Union    .    ,[]
111,Despite    having    signed    non-aggression    pact    with    Stalin         Hitler    despised    communism    and    wished    to    destroy    it    in    land    of    its    birth    .    ,[]
112,He    originally    planned    to    launch    attack    in    early    spring    of       to    avoid    disastrous    Russian    winter    .    ,['Russian']
113,"However         a    pro-allied    coup    in    Yugoslavia    and    Mussolini   "" s""   almost    utter    defeat    in    his    invasion    of    Greece    from    occupied    Albania    prompted    Hitler    to    launch    a    personal    campaign    of    revenge    in    Yugoslavia    and    to    occupy    Greece    at    same    time    .                 ","['Yugoslavia', 'Mussolini', 'Greece', 'Albania', 'Hitler', 'Yugoslavia', 'Greece']"
114,Greeks    would    have    a    bitter    revenge    of    sorts    ;    attack    caused    a    delay    of    several    crucial    weeks    of    invasion    of    the Soviet Union         potentially    hampering    it    .                 ,[]
115,Europe    at    height    of    German    control    in   On    June                    Hitler    attacked    Stalin    with    largest    army    world    had    ever    seen    .    ,"['Europe', 'German', 'Stalin']"
116,Over    three    million    men    and    their    weapons    were    put    into    service    against    Soviet    Union    .                 ,[]
117,Stalin    had    been    warned    about    attack         both    by    other    countries    and    by    his    own    intelligence    network         but    he    had    refused    to    believe    it    .    ,['Stalin']
118,"Therefore         Soviet    army    was    largely    unprepared    and    suffered    massive    setbacks    in    early    part    of    war         despite    Stalin   "" s""   orders    to    counterattack    Germans    .                 ","['Stalin', 'Germans']"
119,Throughout            German    forces         divided    into       army    groups         Army    Group    A         Army    Group    B         and    Army    Group    C              occupied    territories    of    present    day    Ukraine    and    Belarus         laid    siege    to    Leningrad         present    day    Saint    Petersburg              and    advanced    to    within       miles    of    Moscow    .    ,"['German', 'Ukraine', 'Moscow']"
120,At    this    critical    moment         Soviet    people    stalled    German    Wehrmacht    to    a    halt    at    gates    of    Moscow    .    ,"['Soviet', 'German', 'Moscow']"
121,Stalin    had    planned    to    evacuate    city         and    had    already    moved    important    government    functions         but    decided    to    stay    and    rally    city    .    ,['Stalin']
122,Recently    arrived    troops    from    east    under    command    of    Marshal    Georgy    Zhukov    counterattacked    Germans    and    drove    them    from    Moscow    .                 ,"['Germans', 'Moscow']"
123,Mussolini    had    launched    an    offensive    in    North    Africa    from    Italian-controlled    Libya    into    British-controlled    Egypt    .    ,"['Mussolini', 'North    Africa', 'Italian', 'Libya', 'British', 'Egypt']"
124,However         British    smashed    Italians    and    were    on    verge    of    taking    Libya    .    ,"['British', 'Italians', 'Libya']"
125,Hitler    decided    to    help    by    sending    in    a    few    thousand    troops         a    Luftwaffe    division         and    first-rate    general    Erwin    Rommel    .                 ,"['Hitler', 'first']"
126,Rommel    managed    to    use    his    small    force    to    repeatedly    smash    massively    superior    British    forces    and    to    recapture    port    city    of    Tobruk    and    advance    into    Egypt    .    ,"['British', 'Egypt']"
127,However         Hitler         embroiled    in    his    invasion    of    Soviet    Union         refused    to    send    Rommel    any    more    troops         causing    Rommel    to    retreat    and    preventing    him    from    seizing    Middle    East         where    Axis-friendly    regimes    had    taken    root    in    Iraq    and    Persia         present-day    Iran         .                              ,['Iraq']
128,After    winter         Hitler    launched    a    fresh    offensive    in    spring    of            with    aim    of    capturing    oil-rich    Caucacus    and    city    of    Stalingrad    .    ,['Caucacus']
129,However         he    repeatedly    switched    his    troops    to    where    they    were    not    needed    .    ,[]
130,offensive    bogged    down         and    entire   th    Army         considered    best    of    German    troops         was    trapped    in    Stalingrad    .    ,['German']
131,Hitler    now    refused    to    let   th    Army    break    out    .    ,"['Hitler', 'Army']"
132,He    insisted    that    German    army    would    force    its    way    in    .    ,['German']
133,Hermann    Göring    also    assured    Hitler    that    Luftwaffe    could    supply   th    Army    adequately         ,"['Hitler', 'Luftwaffe', 'Army']"
134,when    it    could    in    reality    only    supply    a    minute    fraction    of    needed    ammunition    and    rations    .    ,[]
135,Eventually         starved   th    Army    surrendered         dealing    a    severe    blow    to    Germans    .    ,"['Army', 'Germans']"
136,In    end         defeat    at    Stalingrad    was    turning    point    for    war    in    east    .                 ,[]
137,Meanwhile         Japanese    had    attacked    United    States    at    Pearl    Harbor    in    Hawaii    on    December               .    ,"['Japanese', 'Hawaii']"
138,This    disastrous    attack    forced    the United Statesns    into    war    .    ,[]
139,"Parts    of    German    brass    advised    against    declaring    war    on    the United States         arguing    that    since    Japan    was    aggressor         Tripartite    Pact    did   ""n t""   bind    Germany    to    do    so    .    ","['German', 'Japan', 'Germany']"
140,However         Hitler    hoped    that    Japan    would    be    able    to    quickly    defeat    the United States    and    then    turn    its    attention    on    helping    effort    against    Russia    .    ,"['Japan', 'the United States', 'Russia']"
141,Both    Germany    and    Italy    declared    war    on    United    States    a    few    days    after    attack    .                 ,['Italy']
142,Turning    tides         edit         A    British    soldier    gives    a    V    gesture    to    German    prisoners    captured    at    El    Alamein            October   Throughout    rest    of       and            Soviets    began    to    gain    ground    against    Germans    after    some    victories    like    tank    battle    of    Kursk    .                 ,"['British', 'German', 'October', 'Soviets', 'Germans', 'Kursk']"
143,"By    this    time         Rommel    had    been    forced    to    abandon    North    Africa    after    a    defeat    by    Montgomery    at    El    Alamein    in    what    was    first    decisive    victory    of    Allies    over    Germany    army         leading    Churchill    to    declare    it    ``    end    of    beginning   ""  ""   .                 ","['Africa', 'Germany', 'Churchill']"
144,On    several    fronts         Wehrmacht    had    encountered    serious    casualties    that    it    could    not    replace    .    ,[]
145,"Hitler    also    insisted    on    a    ``    hold    at    all    costs   ""  ""   policy    which    forbade    relinquishing    any    ground    .    ",['Hitler']
146,"He    followed    a    ``    fight    to    last    man   ""  ""   policy    that    was    completely    ineffective    .    ",[]
147,By    beginning    of            Hitler    had    lost    all    initiative    in    Soviet    Union         and    was    struggling    even    to    hold    back    tide    turning    against    him    .                 ,[]
148,From       to            United    States    and    the United Kingdom    acted    in    only    a    limited    manner    in    European    theater         much    to    chagrin    of    Stalin    .    ,"['the United Kingdom', 'European', 'Stalin']"
149,They    drove    out    Germans    in    Africa         invading    Morocco    and    Algeria    on    November               .                 ,"['Germans', 'Africa', 'Morocco', 'Algeria', 'November']"
150,"Then         on    July                    Allies    invaded    Sicily         in    preparation    for    an    advance    through    Italy         ``    soft    underbelly   ""  ""   of    Axis         as    Winston    Churchill    called    it    .    ",[]
151,On    September            invasion    of    Italy    began    .                 ,['Italy']
152,By    winter    of            southern    half    of    Italy    was    in    Allied    hands    .    ,['Italy']
153,Italians         most    of    whom    did    not    really    support    war         had    already    turned    against    Mussolini    .    ,"['Italians', 'Mussolini']"
154,In    July         he    had    been    stripped    of    power    and    taken    prisoner         though    Italians    feigned    continued    support    of    Axis    .    ,['Italians']
155,"On    September            Italians    formally    surrendered                      but    most    of    Italy    not    in    Allied    hands    was    controlled    by    German    troops    and    those    loyal    to    Mussolini   "" s""        Mussolini    had    been    freed    by    German    paratroopers         new    Italian    Social    Republic         which    in    reality    consisted    of    shrinking    zone    of    German    control    .    ","['Italians', 'Italy', 'German', 'Mussolini', 'German', 'Italian', 'German']"
